video_id,publish_date,title,category,views,likes,comments,ctr_pct,retention_pct,watch_hours,subscribers_gained,upload_hour
VID00104,2024-01-10,Day In My Life #104,Lifestyle,3505,352,28,5.27,83.38,527.6,77,12
VID00105,2024-01-11,Interview Preparation #105,Education,8989,574,8,5.65,50.28,576.5,159,16
VID00106,2024-01-11,Weekend Travel Vlog #106,Travel,20278,950,34,10.7,75.56,2031.6,277,21
VID00107,2024-01-11,Weekend Travel Vlog #107,Travel,16913,1771,99,9.92,69.03,1826.8,126,23
VID00108,2024-01-11,Travel Guide #108,Travel,9777,760,37,8.11,42.07,562.7,199,18
VID00109,2024-01-11,AI Tools #109,Tech,102195,10782,284,7.82,51.75,7763.0,1912,16
VID00110,2024-01-11,Morning Routine #110,Lifestyle,17797,1685,69,10.22,44.33,306.6,142,19
VID00111,2024-01-11,Budget Meals #111,Food,10371,586,81,6.73,69.42,1586.6,249,14
VID00112,2024-01-11,Weekend Travel Vlog #112,Travel,69517,2013,610,6.7,59.23,2055.0,1414,16
VID00113,2024-01-11,Budget Lifestyle #113,Lifestyle,11108,926,124,9.23,48.02,260.9,70,10
VID00114,2024-01-11,Budget Travel Tips #114,Travel,17056,1758,67,8.03,63.94,2096.0,134,14
VID00115,2024-01-11,Budget Meals #115,Food,2365,215,26,6.97,51.57,233.9,52,16
VID00116,2024-01-12,Office Comedy #116,Comedy,4276,176,53,6.8,50.15,255.2,91,18
VID00117,2024-01-12,Day In My Life #117,Lifestyle,8371,232,95,6.73,72.69,487.9,55,18
VID00118,2024-01-12,Office Comedy #118,Comedy,17088,1370,237,13.69,77.98,2516.0,211,21
VID00119,2024-01-12,Budget Meals #119,Food,16572,466,124,6.06,56.99,547.3,357,20
VID00120,2024-01-12,Best Places to Visit #120,Travel,22169,739,158,7.91,63.17,929.2,219,22
VID00121,2024-01-12,Budget Travel Tips #121,Travel,6370,252,42,6.8,47.45,380.1,84,20
VID00122,2024-01-12,Tech Hacks #122,Tech,7910,552,18,6.5,65.98,774.2,123,8
VID00123,2024-01-12,Best Friend Problems #123,Comedy,7658,413,26,8.74,53.65,481.4,67,20
VID00124,2024-01-12,Cooking Tips #124,Food,16554,1474,212,4.79,57.42,1876.1,80,22
VID00125,2024-01-12,Personal Finance Tips #125,Finance,9601,394,74,12.15,65.9,1043.6,192,10
VID00126,2024-01-13,Credit Score Tips #126,Finance,6984,496,12,9.15,53.95,648.9,106,18
VID00127,2024-01-13,Productivity Tips #127,Education,32444,2718,93,5.24,56.65,752.7,665,20
VID00128,2024-01-13,Career Tips #128,Education,10089,736,77,10.4,67.49,331.5,34,19
VID00129,2024-01-13,Healthy Habits #129,Lifestyle,20492,2040,21,5.65,47.55,1105.2,263,18
VID00130,2024-01-13,Street Food Tour #130,Food,7572,609,65,8.04,60.13,903.3,29,23
VID00131,2024-01-13,Best Friend Problems #131,Comedy,4191,328,55,7.05,43.75,425.4,47,18
VID00132,2024-01-13,Laptop Buying Guide #132,Tech,14106,441,107,4.02,46.49,897.4,270,20
VID00133,2024-01-13,Gaming Highlights #133,Gaming,18088,1472,29,8.08,72.2,1387.2,395,10
VID00134,2024-01-13,Gaming Highlights #134,Gaming,49930,2733,67,3.17,80.9,5269.8,676,21
VID00135,2024-01-13,Best Apps #135,Tech,5899,428,21,7.49,79.06,403.1,70,20
VID00136,2024-01-13,Useful Tech Tips #136,Tech,30938,2948,423,7.5,54.95,1303.3,307,20
VID00137,2024-01-14,Hidden Places #137,Travel,7393,185,85,11.13,83.34,832.9,66,12
VID00138,2024-01-14,Interview Preparation #138,Education,80377,6458,563,12.56,56.46,6022.4,1390,20
VID00139,2024-01-14,Relatable College Life #139,Comedy,15244,796,182,9.98,53.08,529.2,182,18
VID00140,2024-01-14,Exam Preparation Guide #140,Education,5566,395,14,6.34,73.63,693.7,37,21
VID00141,2024-01-14,Budget Travel Tips #141,Travel,15526,1182,166,9.95,69.82,911.9,52,21
VID00142,2024-01-14,Learning Strategies #142,Education,7662,539,41,7.96,40.23,665.6,37,18
VID00143,2024-01-14,Productivity Tips #143,Education,14881,1333,105,7.47,68.63,1531.2,205,20
VID00144,2024-01-14,Office Comedy #144,Comedy,22970,2050,84,4.06,51.93,532.9,103,8
VID00145,2024-01-14,Money Mistakes #145,Finance,12857,417,58,5.65,54.15,1113.7,43,19
VID00146,2024-01-14,Relatable College Life #146,Comedy,3918,104,44,8.69,49.59,264.6,54,19
VID00147,2024-01-15,Laptop Buying Guide #147,Tech,9551,417,87,11.14,77.11,365.8,136,19
VID00148,2024-01-15,Money Mistakes #148,Finance,29572,1371,141,10.8,83.82,2094.5,711,18
VID00149,2024-01-15,Travel Mistakes #149,Travel,5174,309,65,5.46,78.93,777.0,81,21
VID00150,2024-01-15,Weekend Travel Vlog #150,Travel,11282,673,20,4.71,62.06,1226.4,243,19
VID00151,2024-01-15,Money Mistakes #151,Finance,6809,616,82,6.63,51.68,629.7,63,22
VID00152,2024-01-15,Parents Be Like #152,Comedy,2046,91,17,5.38,67.69,160.5,41,22
VID00153,2024-01-15,Easy Recipes #153,Food,1887,138,21,7.0,51.43,87.6,38,20
VID00154,2024-01-15,Relatable College Life #154,Comedy,8965,902,57,9.18,69.77,724.8,50,20
VID00155,2024-01-15,Gaming Highlights #155,Gaming,7333,376,28,7.5,53.92,773.7,102,10
VID00156,2024-01-15,Top Games #156,Gaming,1392,45,7,10.02,43.17,88.2,15,10
VID00157,2024-01-16,Best Settings #157,Gaming,62924,5199,675,2.86,50.52,2799.5,980,18
VID00158,2024-01-16,Phone Features You Missed #158,Tech,8942,673,112,13.7,76.43,1133.5,135,20
VID00159,2024-01-16,Best Restaurants #159,Food,9170,368,33,12.33,50.45,393.8,116,20
VID00160,2024-01-16,Relatable College Life #160,Comedy,6189,443,8,7.64,57.4,379.8,133,8
VID00161,2024-01-16,Office Comedy #161,Comedy,5851,496,7,5.7,37.4,358.1,67,8
VID00162,2024-01-16,Expectation vs Reality #162,Comedy,12908,825,32,11.63,60.17,451.2,236,12
VID00163,2024-01-16,Morning Routine #163,Lifestyle,61249,6555,74,8.65,47.68,2472.8,688,14
VID00164,2024-01-16,Best Restaurants #164,Food,21775,1660,303,8.67,53.31,2038.8,106,20
VID00165,2024-01-16,Game Challenge #165,Gaming,4683,464,46,10.03,48.3,174.2,87,8
VID00166,2024-01-16,Study Tips That Work #166,Education,21077,1786,126,8.33,74.04,1444.7,255,20
VID00167,2024-01-16,Money Mistakes #167,Finance,1724,70,18,8.28,69.22,76.7,41,19
VID00168,2024-01-17,Funny Family Moments #168,Comedy,3051,152,5,7.7,67.81,322.4,15,21
VID00169,2024-01-17,Investment Basics #169,Finance,13615,432,169,6.43,58.48,581.9,182,12
VID00170,2024-01-17,AI Tools #170,Tech,5252,564,66,7.42,67.25,241.0,94,20
VID00171,2024-01-17,Exam Preparation Guide #171,Education,33305,2641,300,10.63,63.27,1200.5,593,21
VID00172,2024-01-17,Weekend Travel Vlog #172,Travel,11668,916,39,9.44,64.89,1473.5,37,16
VID00173,2024-01-17,Easy Recipes #173,Food,5230,498,11,8.21,63.64,288.6,98,6
VID00174,2024-01-17,Parents Be Like #174,Comedy,12710,556,13,9.45,56.75,654.0,285,20
VID00175,2024-01-17,Exam Preparation Guide #175,Education,5817,160,71,7.62,74.85,327.2,143,20
VID00176,2024-01-17,Personal Finance Tips #176,Finance,9803,984,108,7.22,71.0,1573.6,79,20
VID00177,2024-01-17,Budget Planning #177,Finance,1883,110,21,7.89,63.03,105.5,14,20
VID00178,2024-01-18,Best Places to Visit #178,Travel,11189,586,93,5.51,62.05,546.2,229,18
VID00179,2024-01-18,Street Food Tour #179,Food,8759,228,103,11.59,68.96,1131.3,85,19
VID00180,2024-01-18,Office Comedy #180,Comedy,195392,11385,1701,5.45,62.71,15993.3,2219,12
VID00181,2024-01-18,Funny Family Moments #181,Comedy,38192,1166,353,4.8,58.47,2049.8,706,23
VID00182,2024-01-18,Study Tips That Work #182,Education,5662,249,54,7.09,78.84,522.9,121,19
VID00183,2024-01-18,Relatable College Life #183,Comedy,11883,595,152,7.61,63.89,832.7,148,14
VID00184,2024-01-18,Gaming Highlights #184,Gaming,5151,136,36,5.92,65.94,587.2,22,20
VID00185,2024-01-18,Budget Meals #185,Food,23296,860,132,8.44,59.22,1112.0,400,18
VID00186,2024-01-18,Relatable College Life #186,Comedy,10257,579,81,6.38,58.98,224.5,104,16
VID00187,2024-01-18,Best Friend Problems #187,Comedy,53019,3482,442,8.63,63.99,3429.4,192,22
VID00188,2024-01-18,Career Tips #188,Education,18292,517,88,10.28,77.35,2343.6,340,21
VID00189,2024-01-19,Best Restaurants #189,Food,9814,690,113,7.87,53.74,849.5,56,6
VID00190,2024-01-19,Hidden Places #190,Travel,21275,877,223,8.31,41.61,1229.7,347,20
VID00191,2024-01-19,Budget Planning #191,Finance,51186,1905,114,6.87,69.37,5666.8,1162,22
VID00192,2024-01-19,Study Tips That Work #192,Education,2512,208,17,9.1,73.35,175.4,14,21
VID00193,2024-01-19,Expectation vs Reality #193,Comedy,6306,242,68,2.56,64.85,582.6,74,14
VID00194,2024-01-19,Relatable College Life #194,Comedy,8320,514,89,4.19,54.82,749.5,60,21
VID00195,2024-01-19,Budget Meals #195,Food,10605,796,145,4.76,61.63,738.5,77,6
VID00196,2024-01-19,Best Apps #196,Tech,13272,542,70,7.77,44.36,1115.2,168,14
VID00197,2024-01-19,Expectation vs Reality #197,Comedy,6555,636,90,9.5,64.93,574.5,107,20
VID00198,2024-01-19,Relatable College Life #198,Comedy,13575,1225,97,7.78,63.3,476.1,98,23
VID00199,2024-01-20,Interview Preparation #199,Education,14773,413,21,5.48,46.18,263.6,296,20
VID00200,2024-01-20,Relatable College Life #200,Comedy,2736,286,32,7.68,68.54,371.6,27,16
VID00201,2024-01-20,Career Tips #201,Education,2775,202,31,6.33,51.32,127.0,9,6
VID00202,2024-01-20,Credit Score Tips #202,Finance,7384,416,89,9.49,55.6,505.7,74,22
VID00203,2024-01-20,Funny Family Moments #203,Comedy,8451,268,28,7.11,63.15,748.6,25,12
VID00204,2024-01-20,Funny Family Moments #204,Comedy,15167,1419,146,7.67,53.44,798.9,42,18
VID00205,2024-01-20,Funny Family Moments #205,Comedy,1895,166,4,7.66,67.14,152.6,44,19
VID00206,2024-01-20,Easy Recipes #206,Food,22978,1511,233,7.85,57.86,1433.6,100,12
VID00207,2024-01-20,Personal Finance Tips #207,Finance,5098,326,9,9.83,75.75,372.4,60,20
VID00208,2024-01-20,Office Comedy #208,Comedy,5691,553,41,5.15,80.57,730.6,33,8
VID00209,2024-01-21,Best Settings #209,Gaming,3003,146,41,9.56,66.45,374.0,61,21
VID00210,2024-01-21,Saving Money #210,Finance,1288,47,10,10.4,67.24,66.8,16,20
VID00211,2024-01-21,Budget Travel Tips #211,Travel,10229,935,105,8.73,40.55,227.9,198,22
VID00212,2024-01-21,Useful Tech Tips #212,Tech,6025,284,69,10.06,53.53,229.0,120,19
VID00213,2024-01-21,Laptop Buying Guide #213,Tech,1774,93,9,10.55,60.56,74.5,21,18
VID00214,2024-01-21,Interview Preparation #214,Education,22630,710,39,5.06,51.27,2129.9,238,23
VID00215,2024-01-21,Expectation vs Reality #215,Comedy,4702,395,64,2.16,58.14,478.7,37,20
VID00216,2024-01-21,Budget Lifestyle #216,Lifestyle,12210,312,160,6.05,78.99,341.9,66,10
VID00217,2024-01-21,Weekend Vlog #217,Lifestyle,7582,476,97,10.51,56.99,341.9,100,20
VID00218,2024-01-21,Day In My Life #218,Lifestyle,20627,1413,257,6.46,71.43,1517.1,247,18
VID00219,2024-01-21,Expectation vs Reality #219,Comedy,10875,910,103,8.41,81.55,987.0,162,21
VID00220,2024-01-22,Learning Strategies #220,Education,2545,144,34,10.75,78.02,315.1,58,18
VID00221,2024-01-22,Career Tips #221,Education,9556,713,79,10.94,48.59,274.7,91,21
VID00222,2024-01-22,Budget Planning #222,Finance,23812,737,306,11.57,61.56,938.9,424,21
VID00223,2024-01-22,Beginner Guide #223,Gaming,4920,161,64,8.64,66.59,321.7,37,19
VID00224,2024-01-22,Travel Mistakes #224,Travel,2770,82,9,5.25,49.41,211.7,23,19
VID00225,2024-01-22,Productivity Tips #225,Education,50709,3799,589,10.4,48.63,3644.8,873,20
VID00226,2024-01-22,Relatable College Life #226,Comedy,9694,1014,72,7.57,56.7,781.7,51,16
VID00227,2024-01-22,Morning Routine #227,Lifestyle,6664,452,78,4.56,63.91,964.8,34,10
VID00228,2024-01-22,Beginner Guide #228,Gaming,17737,453,164,8.96,78.47,658.0,260,23
VID00229,2024-01-22,Best Apps #229,Tech,21345,1945,262,9.8,53.23,2347.6,93,16
VID00230,2024-01-23,AI Tools #230,Tech,27552,2792,135,10.62,57.32,2702.7,228,18
VID00231,2024-01-23,Gaming Tips #231,Gaming,12929,1065,19,8.62,61.08,372.7,265,19
VID00232,2024-01-23,Office Comedy #232,Comedy,78262,8279,949,7.44,45.98,5897.8,1369,19
VID00233,2024-01-23,Office Comedy #233,Comedy,45268,1135,195,7.25,46.41,2605.9,124,22
VID00234,2024-01-23,Travel Guide #234,Travel,7104,769,56,8.46,66.64,862.8,33,16
VID00235,2024-01-23,Day In My Life #235,Lifestyle,24522,1171,140,7.0,59.44,2428.3,304,12
VID00236,2024-01-23,Laptop Buying Guide #236,Tech,10037,492,42,5.23,73.62,1386.8,105,20
VID00237,2024-01-23,Expectation vs Reality #237,Comedy,15008,1633,162,5.38,54.73,1403.3,333,19
VID00238,2024-01-23,Phone Features You Missed #238,Tech,2983,284,25,5.4,64.32,176.4,8,19
VID00239,2024-01-23,Phone Features You Missed #239,Tech,631,51,1,9.14,78.43,95.8,5,12
VID00240,2024-01-23,Best Places to Visit #240,Travel,4482,302,41,6.18,66.58,110.1,87,23
VID00241,2024-01-24,Travel Guide #241,Travel,1984,149,9,7.25,75.78,54.8,12,20
VID00242,2024-01-24,Career Tips #242,Education,5295,514,64,9.66,68.92,522.0,114,14
VID00243,2024-01-24,Beginner Guide #243,Gaming,12317,802,93,7.2,60.19,1144.0,218,19
VID00244,2024-01-24,Laptop Buying Guide #244,Tech,18557,1254,88,6.43,59.45,1172.7,208,22
VID00245,2024-01-24,Best Apps #245,Tech,4146,138,11,7.78,52.79,377.7,35,20
VID00246,2024-01-24,Learning Strategies #246,Education,27337,1562,365,9.36,67.76,2231.5,587,10
VID00247,2024-01-24,Learning Strategies #247,Education,3996,162,43,6.32,58.99,84.2,58,22
VID00248,2024-01-24,Gaming Highlights #248,Gaming,20210,885,155,8.39,67.66,1366.9,321,20
VID00249,2024-01-24,Best Friend Problems #249,Comedy,42217,2824,341,5.59,57.24,1716.9,284,22
VID00250,2024-01-24,Budget Meals #250,Food,1328,59,16,5.69,64.53,143.6,20,10
VID00251,2024-01-25,Productivity Tips #251,Education,7787,709,106,7.51,58.37,657.4,106,12
VID00252,2024-01-25,Office Comedy #252,Comedy,22396,585,309,11.08,62.24,709.1,234,21
VID00253,2024-01-25,Travel Guide #253,Travel,17448,714,242,6.99,67.24,1285.0,127,23
VID00254,2024-01-25,Top Games #254,Gaming,11557,754,35,6.07,48.33,936.8,99,22
VID00255,2024-01-25,Personal Finance Tips #255,Finance,3893,330,29,7.85,55.56,346.4,60,18
VID00256,2024-01-25,Interview Preparation #256,Education,4597,277,34,7.06,73.49,238.3,103,21
VID00257,2024-01-25,Budget Lifestyle #257,Lifestyle,11853,391,94,8.36,77.81,1431.4,239,6
VID00258,2024-01-25,Budget Planning #258,Finance,5257,327,59,8.02,52.74,273.6,47,22
VID00259,2024-01-25,Healthy Habits #259,Lifestyle,21126,779,209,10.55,54.3,1446.3,155,22
VID00260,2024-01-25,Budget Planning #260,Finance,18868,876,192,6.49,61.54,1626.5,174,18
VID00261,2024-01-26,Useful Tech Tips #261,Tech,4682,365,15,9.66,62.11,441.0,107,18
VID00262,2024-01-26,Street Food Tour #262,Food,140459,10857,660,7.52,74.16,7472.1,3317,19
VID00263,2024-01-26,Best Friend Problems #263,Comedy,10965,406,62,7.73,58.58,995.4,136,20
VID00264,2024-01-26,Money Mistakes #264,Finance,9951,364,67,7.94,86.11,1044.5,52,14
VID00265,2024-01-26,Study Tips That Work #265,Education,10144,465,45,6.74,72.64,644.4,181,21
VID00266,2024-01-26,Funny Family Moments #266,Comedy,5124,226,31,3.91,70.95,789.5,24,10
VID00267,2024-01-26,Career Tips #267,Education,15878,910,55,8.3,53.15,1449.0,46,19
VID00268,2024-01-26,Best Apps #268,Tech,15901,446,141,5.22,50.56,434.7,233,20
VID00269,2024-01-26,Healthy Habits #269,Lifestyle,4022,367,21,10.77,67.82,200.3,57,10
VID00270,2024-01-26,Daily Routine #270,Lifestyle,6040,385,66,9.55,72.02,431.2,33,22
VID00271,2024-01-26,Top Games #271,Gaming,11649,308,26,8.58,60.17,628.2,152,21
VID00272,2024-01-27,Weekend Travel Vlog #272,Travel,35353,2657,116,10.41,62.51,4224.6,736,10
VID00273,2024-01-27,Morning Routine #273,Lifestyle,96516,2967,725,8.74,66.56,7166.7,1422,23
VID00274,2024-01-27,AI Tools #274,Tech,5636,508,27,10.39,58.23,207.6,60,6
VID00275,2024-01-27,Parents Be Like #275,Comedy,4443,219,23,9.71,46.7,123.9,58,18
VID00276,2024-01-27,Tech Hacks #276,Tech,36507,2232,472,9.52,58.53,2539.5,446,20
