Creator_ID,Creator_Name,Platform,Content_Category,Country,Followers,Total_Posts,Posting_Frequency_Per_Week,Average_Views,Average_Likes,Average_Comments,Average_Shares,Engagement_Rate_Percent,Monthly_Growth_Rate_Percent,Estimated_Monthly_Revenue_USD
CR0027,Creator_0027,Instagram,Travel,Brazil,11252,49,20.1,18077,679,41,45,9.04,3.42,50.0
CR0028,Creator_0028,YouTube,Lifestyle,UAE,4441,615,19.6,9445,101,9,7,3.47,6.96,50.0
CR0029,Creator_0029,TikTok,Beauty,India,5734,697,1.7,9068,86,5,6,2.17,5.99,50.0
CR0030,Creator_0030,Instagram,Food,Brazil,4256,815,23.9,10321,124,8,9,3.02,2.32,50.0
CR0031,Creator_0031,TikTok,Gaming,UK,35761,812,27.2,30617,1783,136,86,4.29,11.16,92.17
CR0032,Creator_0032,Instagram,Travel,UK,31983,115,8.8,60757,1031,71,36,4.94,3.17,283.64
CR0033,Creator_0033,Instagram,Gaming,Australia,30200,400,24.6,35541,1848,172,19,5.05,-3.97,245.8
CR0034,Creator_0034,Facebook,Tech,UAE,52885,797,3.4,52135,3310,193,47,8.77,3.85,370.67
CR0035,Creator_0035,Facebook,Travel,Canada,105953,463,18.4,82517,10244,1172,409,8.37,9.11,346.37
CR0036,Creator_0036,X,Beauty,India,13614,317,15.1,21241,981,66,37,7.67,4.78,107.53
CR0037,Creator_0037,Instagram,Gaming,India,42935,827,16.8,36601,4637,357,106,10.33,-0.22,164.88
CR0038,Creator_0038,Instagram,Education,France,4374,756,27.9,3589,276,28,10,6.61,1.9,50.0
CR0039,Creator_0039,TikTok,Travel,India,131336,864,26.3,325728,8902,423,197,7.24,1.72,1101.23
CR0040,Creator_0040,YouTube,Fashion,USA,6428,380,23.8,13393,486,13,33,6.57,3.49,50.0
CR0041,Creator_0041,Instagram,Food,USA,11889,393,8.9,23437,814,73,25,6.21,4.58,97.62
CR0042,Creator_0042,YouTube,Beauty,USA,13529,573,27.4,27971,721,49,37,5.67,7.23,79.03
CR0043,Creator_0043,Instagram,Gaming,UK,4650,322,3.8,11321,131,14,5,3.93,5.95,50.0
CR0044,Creator_0044,Facebook,Beauty,France,27930,440,25.7,44796,413,48,5,2.06,6.12,170.4
CR0045,Creator_0045,Instagram,Fitness,India,34406,265,10.5,29675,1754,105,133,4.51,11.73,107.57
CR0046,Creator_0046,TikTok,Food,India,21637,739,2.6,47831,1264,77,59,6.04,8.51,246.57
CR0047,Creator_0047,Instagram,Education,India,4576,256,20.4,8967,213,12,6,4.96,8.2,50.0
CR0048,Creator_0048,YouTube,Travel,Germany,263259,553,7.7,334351,6853,359,144,2.46,-0.85,1846.44
CR0049,Creator_0049,YouTube,Travel,Canada,50595,204,8.1,70554,2617,256,88,4.44,2.87,310.26
CR0050,Creator_0050,Instagram,Travel,India,556462,487,9.9,703162,24696,2368,282,4.32,-0.09,3257.65
CR0051,Creator_0051,Facebook,Food,UAE,10658,773,2.8,25076,550,37,19,4.66,2.81,73.69
CR0052,Creator_0052,TikTok,Fashion,Germany,80948,382,6.1,90776,5279,129,249,5.88,8.28,453.67
CR0053,Creator_0053,Facebook,Tech,Singapore,65917,302,1.1,159737,3615,184,256,6.35,4.13,585.14
CR0054,Creator_0054,Facebook,Comedy,France,19261,572,13.9,44523,580,28,33,3.7,9.25,183.84
CR0055,Creator_0055,TikTok,Lifestyle,India,136312,355,3.4,235014,10727,1084,191,6.96,7.93,1019.03
CR0056,Creator_0056,Facebook,Gaming,Australia,16878,181,20.8,27302,1078,31,21,7.29,5.68,50.0
CR0057,Creator_0057,Instagram,Fashion,USA,17764,179,7.8,20911,1164,117,46,5.5,9.34,62.98
CR0058,Creator_0058,Instagram,Education,Singapore,1000,493,28.4,438,43,5,2,6.26,10.28,50.0
CR0059,Creator_0059,Instagram,Gaming,Australia,43061,620,26.3,28765,2055,191,24,6.97,7.09,281.42
CR0060,Creator_0060,YouTube,Travel,UAE,5858,341,9.4,11621,168,10,11,2.39,6.3,50.0
CR0061,Creator_0061,YouTube,Beauty,Canada,14280,31,23.7,19852,1056,92,12,7.12,7.72,70.77
CR0062,Creator_0062,Instagram,Education,India,8265,443,24.3,5906,221,17,15,3.06,0.58,50.0
CR0063,Creator_0063,X,Gaming,USA,17656,92,29.6,16849,638,61,12,3.28,5.09,76.56
CR0064,Creator_0064,YouTube,Travel,Brazil,44822,607,18.3,107145,2469,159,193,5.23,5.42,116.32
CR0065,Creator_0065,Instagram,Gaming,France,27250,877,3.4,31909,131,8,6,0.5,4.21,94.54
CR0066,Creator_0066,YouTube,Beauty,India,60845,220,19.8,140316,2239,188,137,5.19,2.74,407.48
CR0067,Creator_0067,Instagram,Travel,India,115320,541,19.1,119902,9128,281,161,6.96,8.99,651.26
CR0068,Creator_0068,X,Tech,India,17604,883,19.5,27123,242,15,17,1.18,6.1,163.06
CR0069,Creator_0069,Instagram,Fashion,Australia,15516,524,9.9,6873,841,98,57,7.2,6.41,76.06
CR0070,Creator_0070,Facebook,Fitness,UAE,80933,757,25.9,121070,3061,72,170,3.26,10.49,183.03
CR0071,Creator_0071,TikTok,Lifestyle,India,88663,707,28.8,154058,5487,283,247,5.26,4.82,409.17
CR0072,Creator_0072,Instagram,Food,USA,63049,807,7.3,56242,2211,113,133,3.58,4.14,318.11
CR0073,Creator_0073,Instagram,Lifestyle,Singapore,9000,58,3.6,14541,569,47,5,6.06,10.26,50.0
CR0074,Creator_0074,X,Education,Australia,43741,79,6.6,76942,2711,82,139,7.05,0.28,345.68
CR0075,Creator_0075,TikTok,Lifestyle,USA,30512,597,24.8,56217,1554,128,107,6.22,5.68,300.64
CR0076,Creator_0076,TikTok,Travel,UK,90256,340,20.6,183260,4682,138,163,4.79,2.92,543.79
CR0077,Creator_0077,TikTok,Tech,USA,13921,454,19.4,14670,609,17,10,3.75,6.52,56.0
CR0078,Creator_0078,Instagram,Fitness,India,3957,655,12.7,6300,191,17,7,4.65,7.5,50.0
CR0079,Creator_0079,YouTube,Fashion,UK,59502,695,17.8,146453,3553,186,216,6.24,7.7,511.25
CR0080,Creator_0080,Instagram,Fashion,Canada,1419,427,9.9,3243,66,7,2,6.32,9.09,50.0
CR0081,Creator_0081,X,Beauty,Germany,11599,942,14.8,27844,475,11,11,6.01,4.62,79.21
CR0082,Creator_0082,TikTok,Food,Canada,8294,405,24.0,10043,150,9,3,1.98,4.83,62.98
CR0083,Creator_0083,YouTube,Gaming,UAE,8230,690,29.5,16892,265,8,17,4.75,7.34,50.02
CR0084,Creator_0084,Instagram,Tech,India,11368,588,28.0,19345,384,21,5,3.41,8.61,78.78
CR0085,Creator_0085,Instagram,Gaming,USA,109095,97,28.1,62592,6007,719,348,6.26,0.95,715.71
CR0086,Creator_0086,YouTube,Fitness,India,69122,213,12.7,147254,2381,259,84,3.12,6.6,629.51
CR0087,Creator_0087,TikTok,Lifestyle,India,20140,304,14.6,36693,971,24,61,5.79,4.12,118.79
CR0088,Creator_0088,TikTok,Fashion,Australia,99078,546,21.5,81018,4165,317,322,4.18,5.81,301.11
CR0089,Creator_0089,Facebook,Fitness,Brazil,7929,543,27.7,4499,51,5,2,0.67,4.25,50.0
CR0090,Creator_0090,YouTube,Lifestyle,India,6781,632,5.1,14631,303,12,9,6.85,2.97,56.36
CR0091,Creator_0091,Instagram,Fashion,USA,72630,175,9.8,41086,2387,82,159,4.74,1.94,500.18
CR0092,Creator_0092,TikTok,Lifestyle,UAE,52396,359,5.0,31010,3286,362,94,7.61,4.97,344.72
CR0093,Creator_0093,TikTok,Food,India,15846,144,18.7,20561,213,24,5,1.14,6.75,99.91
CR0094,Creator_0094,YouTube,Tech,UK,7289,890,9.9,4978,223,26,15,4.16,3.39,50.0
CR0095,Creator_0095,TikTok,Education,Australia,144161,299,10.5,334266,6704,663,530,4.32,9.66,1235.06
CR0096,Creator_0096,YouTube,Fitness,UK,3721,936,3.1,5163,247,21,12,5.39,14.1,50.0
CR0097,Creator_0097,YouTube,Fitness,India,13518,925,11.1,21564,285,15,8,1.88,6.95,54.63
CR0098,Creator_0098,YouTube,Comedy,USA,34991,641,26.0,82194,1670,62,63,6.0,5.36,257.03
CR0099,Creator_0099,Instagram,Travel,UAE,213734,865,7.8,323497,23013,642,504,9.01,2.31,956.55
CR0100,Creator_0100,Instagram,Food,UK,41796,888,21.2,47753,1722,153,109,5.84,6.8,112.02
CR0101,Creator_0101,Instagram,Food,India,46739,677,19.3,96937,2175,214,139,5.0,10.67,298.41
CR0102,Creator_0102,TikTok,Gaming,UAE,13977,747,26.0,18589,292,29,20,1.77,12.32,128.48
CR0103,Creator_0103,Instagram,Lifestyle,India,51727,929,4.8,55285,1659,184,19,3.1,10.39,363.54
CR0104,Creator_0104,YouTube,Travel,Australia,30366,693,29.4,58265,1276,137,62,4.68,8.45,91.92
CR0105,Creator_0105,Facebook,Tech,India,4329,147,17.9,9018,129,15,3,3.63,6.94,50.0
CR0106,Creator_0106,Instagram,Tech,Brazil,66961,333,29.9,138114,4136,183,140,7.06,1.83,536.34
CR0107,Creator_0107,YouTube,Food,USA,82121,351,27.4,201452,4683,451,304,5.97,5.15,471.59
CR0108,Creator_0108,TikTok,Tech,India,67769,169,7.4,139062,6112,480,143,10.72,4.74,317.74
CR0109,Creator_0109,Instagram,Comedy,India,27954,473,2.6,56379,908,41,49,2.64,5.17,178.07
CR0110,Creator_0110,Instagram,Fitness,India,8958,55,8.4,19714,527,62,29,4.87,2.98,87.84
CR0111,Creator_0111,Instagram,Beauty,Germany,1890,704,16.3,756,38,5,2,1.76,8.15,50.0
CR0112,Creator_0112,Instagram,Education,Brazil,32228,439,6.0,37420,145,5,9,0.5,4.54,182.17
CR0113,Creator_0113,Facebook,Gaming,USA,93361,41,5.9,181957,6352,143,420,6.39,4.26,498.53
CR0114,Creator_0114,X,Lifestyle,USA,84530,225,14.4,140269,5933,527,280,5.89,2.99,687.04
CR0115,Creator_0115,TikTok,Education,Australia,68767,658,2.0,53150,2329,187,53,2.92,6.31,196.89
CR0116,Creator_0116,X,Lifestyle,Germany,24702,867,4.5,25636,1109,125,44,5.0,10.74,153.72
CR0117,Creator_0117,X,Fashion,UK,93956,976,13.1,104034,2305,100,111,3.42,5.46,259.83
CR0118,Creator_0118,Instagram,Education,USA,77869,375,2.8,124001,2008,57,115,3.71,6.49,492.52
CR0119,Creator_0119,Facebook,Beauty,USA,16547,459,12.5,35515,675,30,35,4.1,12.27,143.94
CR0120,Creator_0120,YouTube,Food,Canada,58576,748,14.7,138135,1716,37,64,2.83,9.71,293.05
CR0121,Creator_0121,X,Comedy,India,14525,115,14.1,28689,542,12,15,3.22,7.56,156.01
CR0122,Creator_0122,Facebook,Fitness,UK,50062,948,26.2,108644,1359,151,29,3.29,7.41,212.15
CR0123,Creator_0123,Instagram,Fitness,USA,6039,960,16.4,8377,259,14,15,5.73,3.39,50.0
CR0124,Creator_0124,Instagram,Comedy,UAE,6597,183,14.6,8038,28,5,2,0.5,3.05,50.0
CR0125,Creator_0125,Instagram,Travel,India,90847,167,12.9,111259,3367,73,195,4.3,5.99,471.43
CR0126,Creator_0126,YouTube,Fashion,UK,79078,549,24.7,133932,1390,65,50,2.41,6.08,690.21
CR0127,Creator_0127,X,Lifestyle,USA,55751,313,27.0,36845,1462,146,41,2.49,2.53,197.44
CR0128,Creator_0128,X,Beauty,Canada,29767,214,25.7,48131,1034,84,65,3.64,7.96,183.54
CR0129,Creator_0129,Instagram,Tech,India,1719,682,20.5,3088,88,8,5,4.77,4.53,50.0
CR0130,Creator_0130,YouTube,Education,UK,24683,499,5.0,32623,920,59,38,4.33,9.45,121.31
CR0131,Creator_0131,YouTube,Fashion,UK,45356,896,9.0,108929,943,48,49,2.46,5.31,294.49
CR0132,Creator_0132,Instagram,Education,UK,14545,142,2.3,24395,867,59,31,6.39,5.0,102.18
CR0133,Creator_0133,Instagram,Beauty,UK,11856,419,28.0,10219,391,20,23,2.81,2.22,95.18
CR0134,Creator_0134,YouTube,Gaming,Canada,141645,718,20.2,199203,3036,315,207,3.18,2.6,669.72
CR0135,Creator_0135,Facebook,Gaming,UAE,25101,984,22.6,45642,1544,76,89,5.43,10.11,164.47
CR0136,Creator_0136,YouTube,Fashion,India,45388,471,10.0,49001,2175,186,99,5.5,6.44,123.04
CR0137,Creator_0137,YouTube,Food,Singapore,65529,680,25.5,37171,2628,88,110,3.45,6.86,347.25
CR0138,Creator_0138,TikTok,Beauty,USA,8504,123,8.5,13820,48,5,2,0.5,11.1,50.0
CR0139,Creator_0139,YouTube,Beauty,India,33596,774,1.0,80312,822,91,47,2.85,0.89,355.59
CR0140,Creator_0140,Facebook,Comedy,India,122711,481,11.9,174084,6751,545,331,5.16,7.85,604.84
CR0141,Creator_0141,Facebook,Food,India,217968,762,17.6,501943,10257,779,551,6.31,-0.06,1610.64
CR0142,Creator_0142,Instagram,Lifestyle,UAE,28167,737,14.9,60659,1549,179,25,4.63,3.97,179.99
CR0143,Creator_0143,YouTube,Lifestyle,Australia,20462,729,26.0,14519,684,56,52,3.75,1.49,139.09
CR0144,Creator_0144,Instagram,Tech,UAE,36657,415,4.1,69177,3334,153,217,9.85,8.51,378.02
CR0145,Creator_0145,Instagram,Fitness,USA,35602,931,17.1,46798,1521,74,55,3.98,-1.11,212.02
CR0146,Creator_0146,Instagram,Gaming,USA,132557,356,15.9,122683,9313,843,460,6.15,4.69,803.05
CR0147,Creator_0147,TikTok,Lifestyle,India,8553,618,9.2,15759,125,11,2,1.86,1.44,62.19
CR0148,Creator_0148,YouTube,Food,India,19499,161,24.8,38209,489,24,6,2.4,2.51,212.97
CR0149,Creator_0149,Instagram,Beauty,USA,7444,336,22.8,5789,409,22,11,6.22,3.05,50.0
CR0150,Creator_0150,Instagram,Lifestyle,India,8400,730,22.3,19490,519,61,30,7.1,10.12,73.65
CR0151,Creator_0151,Facebook,Beauty,India,41483,577,26.4,82028,1739,52,121,3.94,4.33,139.59
CR0152,Creator_0152,Instagram,Lifestyle,UK,68277,819,22.0,161139,439,26,21,0.73,11.55,371.52
CR0153,Creator_0153,Instagram,Gaming,Australia,12748,546,7.7,13587,484,12,22,4.43,12.28,50.0
CR0154,Creator_0154,YouTube,Education,Brazil,65375,575,21.5,155108,3929,401,149,5.22,12.9,776.2
CR0155,Creator_0155,Facebook,Lifestyle,France,96598,420,9.9,113395,3446,100,73,5.02,5.29,622.55
CR0156,Creator_0156,Instagram,Food,Canada,248926,700,8.0,127782,9353,817,171,3.56,6.24,1802.08
CR0157,Creator_0157,TikTok,Lifestyle,USA,29149,329,3.1,58363,1039,26,65,4.46,6.82,83.28
CR0158,Creator_0158,TikTok,Fitness,Canada,12890,514,22.6,24199,267,23,20,3.15,4.21,94.66
CR0159,Creator_0159,Instagram,Gaming,UAE,8494,575,21.6,14062,149,15,6,2.35,6.99,81.44
CR0160,Creator_0160,TikTok,Food,India,7577,629,7.8,10825,496,29,27,6.46,2.23,50.0
CR0161,Creator_0161,YouTube,Comedy,USA,113238,792,22.7,52944,6113,441,452,5.02,-1.06,507.35
CR0162,Creator_0162,TikTok,Food,Singapore,4710,128,27.6,8061,139,8,2,4.47,8.0,50.0
CR0163,Creator_0163,TikTok,Fitness,USA,109142,814,4.1,139194,2698,135,172,3.68,4.28,524.52
CR0164,Creator_0164,YouTube,Education,UK,9909,391,7.7,15620,519,52,27,4.4,2.08,50.0
CR0165,Creator_0165,Instagram,Gaming,UK,12234,874,22.8,15923,437,20,22,5.15,2.52,110.72
CR0166,Creator_0166,X,Comedy,India,22600,635,9.0,54889,2306,212,70,8.6,10.8,174.81
CR0167,Creator_0167,YouTube,Fitness,USA,11977,787,19.1,19985,588,23,34,6.24,7.12,91.78
CR0168,Creator_0168,Instagram,Fitness,India,78572,910,3.4,155053,2862,128,187,3.33,0.17,434.47
CR0169,Creator_0169,Instagram,Fashion,India,216499,225,14.1,512307,6080,326,108,3.36,1.35,2044.44
CR0170,Creator_0170,TikTok,Gaming,India,12631,866,22.4,20744,443,34,20,3.01,4.48,67.01
CR0171,Creator_0171,TikTok,Food,Singapore,16365,62,20.9,6960,763,49,13,4.36,7.17,81.83
CR0172,Creator_0172,Instagram,Beauty,India,22296,884,24.6,10523,598,56,42,3.01,2.72,50.0
CR0173,Creator_0173,YouTube,Education,USA,50121,264,26.4,93972,2036,84,92,5.84,4.89,463.51
CR0174,Creator_0174,Instagram,Beauty,India,22550,306,23.4,22236,122,5,8,0.5,5.9,85.25
CR0175,Creator_0175,TikTok,Food,France,132633,374,20.5,214427,8091,790,289,5.98,5.97,479.73
CR0176,Creator_0176,Instagram,Food,India,100570,804,1.9,82948,3546,362,66,5.41,-2.88,635.88
CR0177,Creator_0177,TikTok,Gaming,USA,6882,495,16.5,6658,342,8,4,7.58,6.28,50.0
CR0178,Creator_0178,YouTube,Food,Germany,48977,102,2.1,71493,3742,303,111,6.73,-0.57,294.73
CR0179,Creator_0179,Facebook,Fashion,Singapore,154568,129,24.4,378490,4109,237,111,3.3,4.5,354.04
CR0180,Creator_0180,Instagram,Comedy,India,15229,969,10.3,25800,1018,101,50,6.48,3.75,119.98
CR0181,Creator_0181,YouTube,Food,UAE,19179,209,17.3,45375,783,84,9,4.43,1.72,71.16
CR0182,Creator_0182,Instagram,Beauty,USA,14658,819,9.1,35394,92,9,4,0.54,8.45,50.0
CR0183,Creator_0183,Facebook,Food,USA,15015,955,23.7,12568,928,90,34,5.15,1.57,50.0
CR0184,Creator_0184,X,Fashion,India,3949,928,26.7,4160,169,7,8,3.43,3.67,50.0
CR0185,Creator_0185,Instagram,Lifestyle,India,5839,270,12.6,11777,208,21,12,4.8,8.58,50.0
CR0186,Creator_0186,TikTok,Lifestyle,Australia,29410,743,26.0,65296,2895,212,157,8.43,3.57,100.82
CR0187,Creator_0187,X,Fitness,USA,153374,310,8.7,228584,6568,166,518,5.29,2.85,1121.82
CR0188,Creator_0188,YouTube,Education,USA,13288,664,16.5,33030,341,22,6,2.56,4.56,141.51
CR0189,Creator_0189,YouTube,Tech,Australia,12846,220,25.9,5450,847,96,33,6.92,7.39,50.0
CR0190,Creator_0190,Instagram,Comedy,UAE,190374,816,10.5,195922,7044,766,279,5.6,10.56,759.44
CR0191,Creator_0191,Instagram,Travel,India,7521,345,28.7,12850,209,6,8,2.3,2.22,50.07
CR0192,Creator_0192,Facebook,Fitness,UK,3982,530,4.5,5517,35,5,2,1.27,2.51,50.0
CR0193,Creator_0193,Facebook,Education,India,10375,428,1.5,6690,292,29,12,2.65,4.53,50.0
CR0194,Creator_0194,TikTok,Lifestyle,Australia,12554,626,27.2,14717,934,44,43,6.64,6.31,85.96
CR0195,Creator_0195,YouTube,Beauty,Canada,3606,809,3.0,1635,168,11,6,4.14,2.8,50.0
CR0196,Creator_0196,YouTube,Travel,Brazil,23219,981,29.8,40627,845,76,67,4.98,7.91,82.77
CR0197,Creator_0197,TikTok,Education,India,80074,960,28.6,182149,1368,87,102,1.86,2.29,523.97
CR0198,Creator_0198,Facebook,Education,India,6131,856,5.0,13845,471,14,14,6.7,-1.15,57.9
CR0199,Creator_0199,Facebook,Fitness,India,29753,527,16.6,55609,123,11,2,0.5,7.36,207.79
CR0200,Creator_0200,TikTok,Travel,India,42417,750,6.4,58455,1326,147,91,3.36,7.77,385.54
CR0201,Creator_0201,TikTok,Gaming,India,24443,620,13.4,36059,1137,96,90,5.72,9.16,119.88
CR0202,Creator_0202,Instagram,Tech,Germany,33307,91,2.8,22899,720,70,21,2.33,-1.47,170.41
CR0203,Creator_0203,Instagram,Gaming,India,33756,266,7.5,37676,2455,137,86,6.15,3.17,162.73
CR0204,Creator_0204,Facebook,Travel,India,10565,660,11.5,8391,281,10,21,2.89,4.62,50.0
CR0205,Creator_0205,TikTok,Gaming,Australia,150748,743,13.7,320267,3113,262,186,2.1,11.65,659.91
CR0206,Creator_0206,Instagram,Fashion,USA,112974,959,29.3,262210,7692,405,236,7.63,4.94,451.54
CR0207,Creator_0207,Instagram,Lifestyle,UAE,105704,874,24.4,161466,5031,533,254,5.14,0.79,456.81
CR0208,Creator_0208,TikTok,Fashion,India,86312,627,22.4,166435,3379,109,257,5.94,6.54,353.57
CR0209,Creator_0209,Instagram,Food,USA,4397,606,16.6,2880,253,16,16,7.04,10.08,50.0
CR0210,Creator_0210,Instagram,Gaming,India,78039,954,25.4,130943,355,21,21,0.5,9.34,461.4
CR0211,Creator_0211,YouTube,Food,India,57178,585,10.8,107257,3652,415,224,6.2,7.47,164.64
CR0212,Creator_0212,TikTok,Beauty,Germany,4596,363,21.6,6208,132,5,2,3.13,6.42,50.0
CR0213,Creator_0213,TikTok,Comedy,India,21012,990,29.8,19139,612,12,41,3.42,-2.44,82.83
CR0214,Creator_0214,Instagram,Beauty,USA,36986,944,10.1,82940,1880,82,55,5.76,5.59,170.03
CR0215,Creator_0215,TikTok,Travel,USA,182401,73,20.5,357525,5803,592,435,4.0,6.12,1111.89
CR0216,Creator_0216,Instagram,Education,India,61909,749,25.5,141753,4556,186,161,6.11,4.94,418.39
CR0217,Creator_0217,YouTube,Lifestyle,Germany,9954,547,27.6,21088,451,19,31,4.71,7.97,98.35
CR0218,Creator_0218,TikTok,Gaming,India,189036,630,21.8,468768,6431,212,184,5.17,4.88,816.91
CR0219,Creator_0219,TikTok,Fitness,Canada,28292,551,9.2,22734,696,63,32,3.72,4.21,199.87
CR0220,Creator_0220,X,Comedy,Brazil,20045,577,10.5,11669,608,16,10,2.46,9.14,129.48
CR0221,Creator_0221,TikTok,Tech,UK,18468,982,1.6,20457,458,24,25,3.17,4.05,91.99
CR0222,Creator_0222,YouTube,Tech,France,4158,212,23.1,2789,215,10,14,4.57,5.73,50.0
CR0223,Creator_0223,Instagram,Tech,India,23712,914,2.2,35534,1435,108,86,8.84,8.64,102.69
CR0224,Creator_0224,YouTube,Gaming,USA,47672,77,26.1,82442,4609,428,214,8.04,1.96,351.59
CR0225,Creator_0225,Instagram,Tech,India,17271,456,4.4,27882,681,49,8,3.36,1.58,125.27
CR0226,Creator_0226,Instagram,Fashion,Australia,43630,130,6.0,41204,2135,241,160,4.93,10.25,173.86
CR0227,Creator_0227,Facebook,Comedy,Brazil,9956,148,14.8,22983,272,31,16,4.17,3.43,50.0
CR0228,Creator_0228,YouTube,Fashion,India,22878,868,22.4,10168,937,52,58,5.09,7.92,56.84
CR0229,Creator_0229,Facebook,Education,Canada,38716,725,5.0,43781,1858,181,121,5.37,-0.71,202.43
CR0230,Creator_0230,TikTok,Comedy,India,33460,944,13.8,63904,1846,173,115,5.96,-3.26,202.2
CR0231,Creator_0231,X,Fashion,UK,4245,871,15.0,8534,17,5,2,0.5,6.77,50.0
CR0232,Creator_0232,YouTube,Comedy,USA,16238,345,7.2,20684,610,39,37,5.61,5.05,102.24
CR0233,Creator_0233,TikTok,Education,Brazil,185179,27,4.4,80647,7288,532,391,3.92,6.81,652.13
CR0234,Creator_0234,YouTube,Food,UK,15270,48,25.3,25926,478,29,33,3.25,12.06,90.79
CR0235,Creator_0235,Instagram,Gaming,India,27396,131,15.6,14588,1471,154,97,6.55,1.17,60.27
CR0236,Creator_0236,TikTok,Gaming,India,24348,966,1.4,15253,1315,56,16,8.03,5.63,134.09
CR0237,Creator_0237,Instagram,Tech,India,163321,692,24.3,288347,12868,565,469,6.32,10.67,1397.03
CR0238,Creator_0238,Instagram,Beauty,India,118648,150,29.4,125319,4078,233,50,3.66,1.67,813.85
CR0239,Creator_0239,TikTok,Tech,India,68095,207,18.6,77006,1826,78,31,2.43,3.45,501.77
CR0240,Creator_0240,Instagram,Travel,Singapore,8784,694,15.6,12493,40,5,2,0.5,-0.69,50.0
CR0241,Creator_0241,Facebook,Fashion,UK,40662,728,26.5,99825,1429,47,101,5.2,13.33,311.95
CR0242,Creator_0242,Facebook,Comedy,USA,51695,494,28.6,125485,2622,136,48,6.07,-2.22,518.87
CR0243,Creator_0243,Facebook,Beauty,India,12047,383,22.9,15349,464,51,19,4.58,8.3,90.57
CR0244,Creator_0244,YouTube,Education,Germany,9886,223,13.9,9466,780,47,57,6.85,0.88,50.94
CR0245,Creator_0245,Instagram,Travel,Australia,191140,231,18.2,197914,3786,359,253,1.9,1.82,708.13
CR0246,Creator_0246,Facebook,Education,India,19035,640,21.3,18358,685,21,31,4.42,9.22,50.0
CR0247,Creator_0247,YouTube,Gaming,Australia,172339,295,6.6,261561,9013,403,576,4.25,2.9,1387.41
CR0248,Creator_0248,Facebook,Gaming,USA,84681,92,14.0,141790,3254,327,151,4.56,7.78,212.39
CR0249,Creator_0249,Facebook,Tech,India,43004,698,25.1,61342,3958,381,83,7.37,10.33,79.82
